"idBank";"Dernière mise à jour";"Nature";"Zone géographique";"Correction";"﻿Base de l'indice";"Périodicité";"Puissance";"Indicateur";"Unité"
"010567034";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567035";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567036";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567037";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567038";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567039";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567040";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567041";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567042";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567043";"24/02/2022 08:45";"Indice";"93 - Seine-Saint-Denis";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567044";"24/02/2022 08:45";"Indice";"94 - Val-de-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
